movie_id,tomatometer,audience_score
1356,92%,89%
1358,96%,92%
1363,60%,52%
1361,100%,94%
1365,80%,84%
1367,98%,76%
1370,69%,70%
1372,82%,83%
1371,41%,42%
1375,79%,61%
1373,21%,24%
1376,81%,81%
1374,88%,90%
1377,80%,73%
1378,41%,76%
1385,79%,62%
1383,0%,22%
1380,75%,87%
1381,36%,53%
1384,60%,33%
1386,100%,68%
1382,27%,50%
1390,47%,64%
1388,58%,38%
1387,98%,90%
1393,83%,79%
1392,81%,74%
1394,91%,85%
1391,54%,53%
1398,,33%
1397,100%,84%
1401,43%,62%
1395,77%,64%
1400,,
1405,72%,69%
1399,84%,63%
1404,69%,66%
1396,79%,80%
1409,80%,67%
1413,76%,72%
1410,22%,62%
1411,100%,91%
1412,69%,87%
1414,,100%
1416,63%,68%
1419,84%,86%
1421,,
1422,33%,42%
1426,44%,42%
1425,55%,58%
1424,,35%
1427,,
1423,90%,91%
1428,,0%
1436,,
1430,31%,79%
1431,14%,53%
1434,,
1439,13%,31%
1437,82%,74%
1442,56%,78%
1444,80%,72%
1438,26%,38%
1449,91%,91%
1448,,
1453,18%,44%
1454,65%,68%
1447,88%,79%
1455,22%,54%
1458,,
1457,32%,64%
1456,8%,68%
1459,57%,52%
1463,43%,59%
1466,88%,89%
1468,25%,59%
1465,87%,83%
1471,80%,73%
1475,40%,71%
1473,13%,40%
1477,73%,97%
1472,43%,38%
1476,,56%
1480,52%,57%
1464,61%,87%
1485,82%,75%
1484,73%,75%
1487,64%,77%
1483,,
1489,74%,80%
1479,30%,63%
1488,35%,41%
1493,47%,71%
1495,15%,41%
1490,16%,67%
1496,,71%
1497,11%,25%
1486,80%,72%
1502,70%,67%
1500,80%,87%
1499,38%,24%
1501,10%,23%
1503,11%,35%
1498,31%,52%
1508,,
1507,45%,78%
1509,86%,71%
1513,73%,65%
1515,80%,86%
1516,80%,71%
1517,71%,77%
1520,24%,36%
1518,,
1519,64%,62%
1524,,0%
1522,0%,46%
1527,70%,86%
1523,38%,46%
1525,18%,47%
1504,83%,56%
1526,25%,26%
1528,14%,39%
1531,,74%
1529,27%,76%
1532,22%,73%
1535,67%,77%
1544,53%,51%
1539,46%,89%
1542,79%,79%
1543,65%,73%
1541,55%,50%
1545,91%,91%
1547,73%,64%
1546,61%,80%
1549,14%,39%
1551,,80%
1552,56%,75%
1554,67%,81%
1553,20%,54%
1556,4%,16%
1558,67%,50%
1563,60%,85%
1561,40%,47%
1557,,62%
1559,,
1566,84%,76%
1565,40%,44%
1567,,43%
1569,73%,73%
1573,92%,82%
1575,90%,79%
1577,80%,87%
1579,50%,57%
1584,,
1582,27%,59%
1581,36%,52%
1578,,
1585,90%,81%
1587,64%,74%
1586,51%,53%
1590,28%,61%
1589,75%,67%
1591,17%,36%
1592,45%,38%
1596,88%,78%
1594,89%,80%
1599,,20%
1595,44%,44%
1598,19%,37%
1600,66%,62%
1597,57%,64%
1601,,20%
1602,21%,31%
1608,78%,66%
1603,64%,37%
1605,32%,41%
1606,25%,24%
1604,16%,71%
1613,35%,42%
1612,40%,40%
1611,79%,80%
1610,89%,88%
1620,31%,62%
